"Id";"Requirement Summary";"Description";"Estimated Effort (man hours)";"Actual Effort (man hours)";"Size (Story Points)";"External Sources";"Internal Sources";"Baselines";"Categories";"Priority";"Criticality";"Feasibility";"Technical Risk";"Vote";"Release Id";"Status";"Parent Requirement";"Assignee";"Assignee Full Name";"Reporter";"Number Of Attachments";"Attachments";"Created On";"Updated On";"Custom Id";"Requirement Code";"Türksat Onay";"TŞM";"Danışman Onay";"Kapsam Dışı mı ?";"Fonksiyonel Olmayan Kategori";"Vasıflandırma Yöntemleri";"Test Metotları";"Test Seviyeleri";"Test Tipleri";"External Id";"Depends On";"Dependents";"Test Cases";"Sub-task";"Story";"Bug";"Epic";"Analysis";"Analysis Sub-task";"Use-Case";"Design Task"
"KKTCGBS-R650 {2}";"Yazılım listelenen duyuruların tablo üzerinden sıralanmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Minor";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R192 {1}";"";"";"nfidanay";"0";"";"10 May 2018 10:55 AM";"10 May 2018 11:12 AM";"KKTCGBS-R-1.10.2.15";"SRS_BYD_7.10.2_015";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Gösterim";"Arayüz Tekniği, Kara kutu";"Alfa Testi, Birim Testi";"Makulluk Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-583";"KKTCGBS-1866";""
"KKTCGBS-R931 {2}";"Yazılım duyuruların otomatik olarak yayınlanmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R192 {1}";"";"";"cbalkan";"0";"";"10 May 2018 10:55 AM";"10 May 2018 11:13 AM";"KKTCGBS-R-1.10.2.16";"SRS_BYD_7.10.2_016";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Gösterim";"Kara kutu, Beyaz kutu, Arayüz Tekniği";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi, Bileşen Testi";"Makulluk Testi, Duman Testi, Uyumluluk Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-583";"KKTCGBS-1878";""
"KKTCGBS-R193 {1}";"7.10.3 Kullanıcı Yönetimi Gereksinimleri";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-R190 {1}";"";"";"talipk";"0";"";"21 Nov 2017 05:57 PM";"13 Feb 2018 09:22 AM";"KKTCGBS-R-1.10.3";"";"";"Evet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"KKTCGBS-R194 {1}";"7.10.3.1 Kullanıcı tanımlamaları “EK-1 Yazılıma İlişkin Teknik Özellikler’de belirtildiği şekilde merkezi bir kimlik yönetim sisteminden alınacaktır.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-R193 {1}";"";"";"talipk";"0";"";"21 Nov 2017 05:57 PM";"10 May 2018 11:20 AM";"KKTCGBS-R-1.10.3.1";"";"";"Evet";"";"";"";"";"";"";"";"";"";"KKTCGBS-R315 {1}, KKTCGBS-R321 {1}";"";"";"";"";"";"";"";"";""
"KKTCGBS-R728 {2}";"Yazılım gerçek kişilerin tanımlanmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"RC-1.0";"Open";"KKTCGBS-R194 {1}";"";"";"nfidanay";"0";"";"10 May 2018 11:14 AM";"17 Jun 2018 01:09 PM";"KKTCGBS-R-1.10.3.1.1";"SRS_BYD_7.10.3.1_001";"";"Hayır";"";"Hayır";"";"Muayene, Analiz";"Beyaz kutu, Dinamik";"Alfa Testi, Kullanıcı Kabul Testi, Beta Testi, Birim Testi, Entegrasyon Testi";"Makulluk Testi, Duman Testi, Tahribat Testi, Regresyon Testi, Otomatik Testi";"";"KKTCGBS-R191 {1}";"";"";"";"KKTCGBS-1727, KKTCGBS-1731, KKTCGBS-1735, KKTCGBS-1738, KKTCGBS-1741, KKTCGBS-1745, KKTCGBS-1747, KKTCGBS-1749";"";"";"";"KKTCGBS-581";"KKTCGBS-611, KKTCGBS-2044";""
"KKTCGBS-R729 {2}";"Yazılım gerçek kişilerin e-Nüfus entegrasyonu ile sistemde tanımlanırken bilgilerinin otomatik getirilmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"RC-1.0";"Open";"KKTCGBS-R194 {1}";"";"";"nfidanay";"0";"";"19 Feb 2018 12:24 PM";"19 Jun 2018 01:23 PM";"KKTCGBS-R-1.10.3.1.2";"SRS_BYD_7.10.3.1_002";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Test";"Beyaz kutu, Dinamik";"Sistem Testi, Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Tahribat Testi, Regresyon Testi, Otomatik Testi, Performans Testi";"";"KKTCGBS-R191 {1}";"";"";"";"KKTCGBS-1715, KKTCGBS-1716, KKTCGBS-1717, KKTCGBS-1718, KKTCGBS-1719, KKTCGBS-1834, KKTCGBS-1835";"";"";"";"KKTCGBS-496";"KKTCGBS-638, KKTCGBS-679, KKTCGBS-724, KKTCGBS-1695";""
"KKTCGBS-R727 {2}";"Yazılım tanımlanacak gerçek kişi KKTC vatandaşı ise KKTC No üzerinden bilgilerinin getirilmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"RC-1.0";"Open";"KKTCGBS-R194 {1}";"";"";"nfidanay";"0";"";"10 May 2018 11:14 AM";"19 Jun 2018 01:16 PM";"KKTCGBS-R-1.10.3.1.3";"SRS_BYD_7.10.3.1_003";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Test";"Beyaz kutu, Dinamik";"Sistem Testi, Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Tahribat Testi, Regresyon Testi, Otomatik Testi, Performans Testi";"";"";"";"";"";"KKTCGBS-1709, KKTCGBS-1710, KKTCGBS-1712, KKTCGBS-1715, KKTCGBS-1716, KKTCGBS-1717, KKTCGBS-1718, KKTCGBS-1719";"";"";"";"KKTCGBS-488";"KKTCGBS-612, KKTCGBS-638, KKTCGBS-642, KKTCGBS-1689, KKTCGBS-1691, KKTCGBS-1695, KKTCGBS-2044";""
"KKTCGBS-R711 {2}";"Yazılım tüzel kişilerin e-Tüzel entegrasyonu ile sisteme dahil edilmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"nfidanay";"0";"";"08 Mar 2018 04:42 PM";"10 May 2018 01:41 PM";"KKTCGBS-R-1.10.3.1.4";"SRS_BYD_7.10.3.1_004";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Test";"Beyaz kutu";"Sistem Testi, Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Regresyon Testi, Otomatik Testi, Performans Testi";"";"";"";"";"";"KKTCDEV-139";"";"";"";"KKTCGBS-489";"KKTCGBS-643, KKTCGBS-2040";""
"KKTCGBS-R710 {2}";"Yazılım günde en az n(parametrik) kere e-Tüzel sisteminden güncel kişi verilerini getirerek mevcut verilerin güncelliğinin korunmasını sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"nfidanay";"0";"";"08 Mar 2018 04:42 PM";"19 Jun 2018 01:17 PM";"KKTCGBS-R-1.10.3.1.5";"SRS_BYD_7.10.3.1_005";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Test";"Beyaz kutu";"Sistem Testi, Alfa Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Otomatik Testi, Kullanılabilirlik Testi";"";"";"";"";"";"KKTCGBS-2119";"";"KKTCGBS-1707";"";"KKTCGBS-489";"KKTCGBS-612, KKTCGBS-614, KKTCGBS-638, KKTCGBS-643, KKTCGBS-1689, KKTCGBS-1693, KKTCGBS-1695, KKTCGBS-1702, KKTCGBS-2040";""
"KKTCGBS-R681 {2}";"Yazılım kullanıcıların LDAP entegrasyonuyla ve tanımlanmış LDAP'lar üzerinden sisteme giriş yapmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"RC-1.0";"Open";"KKTCGBS-R194 {1}";"";"";"nfidanay";"0";"";"10 May 2018 11:14 AM";"21 Jun 2018 07:12 PM";"KKTCGBS-R-1.10.3.1.6";"SRS_BYD_7.10.3.1_006";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Test";"Kara kutu, Beyaz kutu, Dinamik";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi, Entegrasyon Testi";"Duman Testi, Regresyon Testi, Otomatik Testi, Tahribat Testi, Makulluk Testi, Performans Testi";"";"";"";"";"";"KKTCGBS-2052, KKTCGBS-2060, KKTCGBS-2069";"";"";"";"KKTCGBS-496";"KKTCGBS-1895";""
